Name,Location,Latitude,Longitude
Highbridge Park (Recreation Center),"West 155 & Dyckman streets, Edgecombe & Amsterdam avenues",40.8645,-73.9266
Highbridge Park (Wallenberg Playground),West 188 Street & Amsterdam Avenue,40.8525,-73.9277
Highbridge Park-Wallenberg Playground,W 189 St & Amsterdam Ave,40.8531,-73.9273
Hoffman Park,Hoffman Drive west of Queens Boulevard,40.7333,-73.8725
Holcombe Rucker,"West 155 Street, 8 Avenue to Harlem River Drive",40.8278,-73.9347
Hollis Playground (JHS 192),205 Street & Hollis Avenue,40.7070,-73.7528
Hoover Playground,Manton Street & 83 Avenue,40.7125,-73.8211
Horace Harding Playground (PS 206),62 Drive between 97 Place & 98 Street,51.8929,-8.4834
Howard Bennett Playground,"West 135 to West 136 streets, Lenox to 5 avenues",42.3565,-73.2849
Hunts Point Playground,"Spofford Avenue, Hunts Point Avenue, Faile Street",40.8159,-73.8871
Inwood Hill Park (Nature Center),Gaelic Field and Area around Salt Marsh West of Indian Road (at 218th Street),20.5937,78.9629
Inwood Hill Park (Payson Playground),Payson & Dyckman streets,40.8673,-73.9289
Inwood Hill Park (Tennis Courts),Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street,40.8689,-73.9229
J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",40.8421,-73.9423
Jackie Robinson Park,Malcolm X Boulevard between Chauncey and Marion streets,40.8096,-73.9442
Jackie Robinson Park,West 149 Street & Bradhurst Avenue,40.8258,-73.9411
Jackie Robinson Park (Playground One Fifty Two CLII),West 152 Street & Bradhurst Avenue,40.8277,-73.9397
Jackie Robinson Park (Recreation Center),"Bradhurst & Edgecombe avenues,West 145 to West 155 streets",40.8215,-73.9446
Jackie Robinson Playground,"Sullivan Place & Franklin Avenue, Montgomery Street",40.6660,-73.9597
Jacob Schiff Playground (PS 192),"Amsterdam Avenue, West 136 Street",40.8196,-73.9517
Jesse Owens Playground,Stuyvesant & Lafayette avenues,40.6919,-73.9338
John Jay Park & Pool,East 76-East 78 streets & Cherokee Place,40.7750,-73.9615
John Paul Jones Park,"Shore Parkway, Fort Hamilton Parkway, 101 Street",40.6112,-74.0325
Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",40.5062,-74.2349
Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",40.5062,-74.2349
Joseph Austin Playground,Grand Central Parkway & 164 Place,40.7165,-73.8019
Joseph F. Mafera Park,65 Place & Catalpa Avenue & 68 Avenue,40.7035,-73.8968
Julio Carballo Field,"Lafayette Avenue, Manda Street",40.6897,-73.9525
Juniper Valley Park,Lutheran Avenue; North and South Juniper boulevards; and the pathway from 76th Street on north end to 75th Street on south end,35.2126,-80.8588
Juniper Valley Park (North Playground Tennis),62nd Avenue & 80th Street,40.7231,-73.8777
K.L. Williams Playground (Tennis),"Liberty Avenue, 172-173 streets",40.7046,-73.7854
Kaiser Park,"South of Gravesend Bay, southeast of Path, northeast of Neptune Avenue",40.5793,-73.9820
Katzman Playground,Yellowstone Boulevard between 68 Avenue & 68 Road,40.7226,-73.8521
Kennedy King Playground,East 93 Street & Lenox Road,40.6575,-73.9214
Kissena Corridor East (Underhill Playground),Peck Avenue & 188 Street,40.7444,-73.7884
Kissena Park,"Oak Avenue, 104th Street, & Kissena Lake Area",40.7481,-73.8062
Leif Ericson Park & Square,CLF behind CS adjacent to 5th Avenue to 7th Avenue(Highway) between 66th and 67th Street,40.7744,-73.9656
Liberty Pool,173rd Street and 106th Avenue,40.8446,-73.9387
Lincoln Terrace Park,Buffalo Avenue/Protal Street/New York Avenue,40.6727,-73.9252
Lincoln Terrace Park (Arthur S. Somers Playground),"East New York, Rochester avenues, Eastern Parkway,Buffalo Avenue",43.1566,-77.6088
Linden Park,"Stanley Avenue, Linden Boulevard",40.6580,-73.8962
Linden Park,104 Street & 41 Avenue,25.1799,51.4525
Loreto Park Playground,"Morris Park Avenue, Haight Avenue, Tomlinson Avenue, Van Nest Avenue",40.8486,-73.8512
Loring Field,North Conduit & 149 Avenue,40.6671,-73.8125
Lost Battalion Hall,Queens Boulevard between 62 Avenue & 62 Road,40.7340,-73.8730
Lou Lodati Playground,Skillman Avenue & 43 Street,40.7473,-73.9283
Louis Pasteur Park,248 Street & 51 Avenue,40.7621,-73.7361
Lozada Playground,"East 135 Street, Willis Avenue, Alexander Avenue",40.8072,-73.9243
Magenta Playground,"Olinville Avenue, Rosewood Street",40.8732,-73.8682
Mahoney Playground,Beechwood & Cleveland avenues,41.4422,-81.5905
Mapes Pool,"East 180 Street, Mapes & Prospect avenues",40.8419,-73.8735
Marble Hill Playground,"Marble Hill Avenue, West 230 Street, West 228 Street",40.8783,-73.9080
Marc's & Jason's Playground,Sterling Street & Empire Boulevard,40.6632,-73.9509
Marcus Garvey Park (Pelham Fritz Recreation Center),18 Mount Morris Park West,40.8050,-73.9453
Marine Park Nature Center,East 33rd Street and Avenue U,40.6051,-73.9299
Markham Playground,"Willowbrook Parkway, Forest Avenue & Houston Street",29.8531,-95.2086
Martin Luther King Houses,"Lenox Avenue, West 113 to West 114 streets",40.8001,-73.9510
Martinez Playground,"Scholes Street, Graham Avenue",40.7088,-73.9435
Mathew Muliner Playground,"Delancy Place, Muliner Avenue, Matthews Avenue",40.8656,-73.8629
Maurice A. Fitzgerald Playground,Atlantic Avenue & 106 Street,40.6908,-73.8391
Mazzei Playground,"Mace Avenue, Williamsbridge Road",40.8630,-73.8581
McCaffrey Playground,"West 43 Street, 8 & 9 avenues",19.1967,72.9883
McCarren Park,12th Street/Driggs Avenue/Lorimer Street/Bedford Avenue,40.7178,-73.9575
McDonald Playground,"Mcdonald Avenue, between avenues S & T",40.6225,-73.9756
McDonald Playground,"Forest Avenue, Myrtle Avenue between Broadway & Burgher",40.7044,-73.9031
McKinley Park,"Fort Hamilton Parkway, 73 to 78 streets, 7 Avenue",40.6509,-73.9729
McKinley Playground,"Avenue A, East 3-East 4 streets",40.7238,-73.9850
McLaughlin Park,"Tillary Street, Jay Street, Cathedral Place, Bridge Street",40.6960,-73.9866
Mellett Playground,Avenue V between East 13 & East 14 streets,40.7313,-73.9826
Metropolitan Pool,Southeast corner of Bedford & Metropolitan avenues,40.7153,-73.9604
Michaelis-Bayswater Park,"Beach Channel Drive, B 32 Street, Dwight Avenue, Norton Avenue",40.5885,-73.8174
Midland Beach & Boardwalk,"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",40.5812,-74.0758
Midland Field,Midland Avenue & Mason Avenue,40.5748,-74.0976
Monsignor Mcgolrick Park,"Driggs to Nassau avenues, Russell to Monitor streets",25.0443,-77.3504
Montbellier Park,Springfield Boulevard & 139 Avenue,40.6734,-73.7563
Morningside Park,West 123 Street & Morningside Avenue,40.8101,-73.9550
Morningside Park,"Athletic Fields and Lawns from 114th Street to 110th Street along Manhattan Avenue, East of Upper Path",40.7987,-73.9536
Morningside Playground,West 117 Street & Morningside Avenue,40.8063,-73.9578
Mosholu Playground (PS 8),"Mosholu Pkwy, Bainbridge Avenue, Briggs Avenue",40.8726,-73.8812
Msgnr. Kett,West 204 Street & Nagle Avenue,40.8631,-73.9206
Mt. Prospect Park,"Eastern Parkway, Underhill Avenue",40.6729,-73.9675
Mullaly Park (Skate Building),"East 164 Street, Jerome Avenue, Macombs Dam Bridge, East 162 Street, River Avenue",40.8281,-73.9338
Nautilus Playground,Merrick & Baisley boulevards,40.6837,-73.7698
Nelson Playground,"West 166 Street, Nelson Avenue, Woodycrest Avenue",40.8353,-73.9270
Noble Playground,"Nobel Avenue, Bronx River Avenue, Bronx River Parkway, Cross Bronx Expressway",40.8382,-73.8717
Noonan Playground,"Greenpoint & 47 avenues, 43 Street",40.7305,-73.9515
North Rochdale Playground (PS 30),Baisley Boulevard & Bedell Street,40.6805,-73.7747
Nostrand Playground,Nostrand & Foster avenues,40.6386,-73.9483
Ocean Hill Playground,"Bergen Street, Rockaway Avenue, Dean Street",40.6744,-73.9112
Old Town Playground,"Parkinson Avenue, Kramer Street",40.5967,-74.0828
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",40.8240,-73.8771
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",40.8240,-73.8771
Orville & Wilbur Playground,West 156 Street & St. Nicholas Avenue,40.8280,-73.9424
Osborn Playground,Linden Boulevard & Osborn Street,40.6552,-73.9051
Owen Dolen Recreation Center,"Westchester Avenue, Lane Avenue, East Tremont Avenue",40.8410,-73.8645
P.O. Nicholas Demutis Playground,102 Street & Liberty Avenue,40.6838,-73.8335
P.O. Serrano Playground,"Turnbull Avenue, Olmstead Avenue, Lafayette Avenue",40.8236,-73.8522
Paerdegat Park,"Foster Avenue, East 40-41 streets",40.6393,-73.9378
Parkside Playground,"Arnow Avenue, Adee Avenue, Olinville Avenue",40.8697,-73.8682
Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue),"Bruckner Boulevard, Eastchester Bay, Hutchinson",40.8240,-73.8771
Pelham Bay Park (Bruckner CS),"Bruckner Boulevard, Eastchester Bay, Hutchinson",40.8240,-73.8771
Pelham Bay Park (Hunter Island Picnic Area),"Bruckner Boulevard, Eastchester Bay, Hutchinson",40.8240,-73.8771
Pelham Bay Park (Playground for All Children),Bruckner Expressway & Buhre Avenue,40.8469,-73.8324
Pelham South Park Headquarters,"Bruckner Boulevard, Eastchester Bay, Hutchinson",40.8240,-73.8771
People's Park Playground,"Brook Avenue, East 141 Street",40.8096,-73.9181
Peter's Field,183 Place & Henderson Avenue,40.7069,-73.7741
PFC Thomas Norton Memorial Playground,Nostrand Avenue & Marine Parkway,40.6148,-73.9446
Pierrepont Playground,"Furman Street, Pierrepont Place",40.6972,-73.9977
Playground 70,West End Avenue & West 70 Street,40.7785,-73.9854
Playground 90/PS 148 Playground,Northern Boulevard & 90 Street,40.7565,-73.8781
Playground Fifty-Two,"Kelly Street, St. John's Avenue, Beck Street",47.5556,-52.7453
Police Officer Reinaldo Salgado Playground,Madison Street & Patchen Avenue,40.6860,-73.9267
Potomac Playground,Tompkins Avenue & Halsey Street,40.6825,-73.9437
